uuid	text	type
8a35883f9c9f0b15a9e20ab8711d403d91d57405	"18 SHARE The Amish in America have committed their vote to Donald Trump guaranteeing him the Presidency. (AP Photo / Dennis System) 
COLUMBUS, OH (AP) — History was made today in Columbus, Ohio when more than 3 million Amish poured into the city to see the American Amish Brotherhood (AAB), an organization which acts as an informal governing body for the Amish community, endorse Donald Trump for president. That number represents a significant portion of the total Amish population, which the United States Census Bureau says numbers more than 20 million men and women nationwide all pledging their vote to Trump for President. With the full force of the Amish community behind him, Donald Trump is now mathematically guaranteed to win the presidency in November. 
The organization typically meets once a year and the meetings usually consist of about 300 Amish leaders who meet to discuss the challenges, such as urban sprawl, that face the community. This year, however, the organization wanted as many people in attendance as possible so they can effectively instruct all Amish men and women of legal voting age to cast their vote for the flamboyant Republican nominee. 
The Amish, who are direct descendants of the protestant reformation sect known as the Anabaptists, have typically stayed out of politics in the past. As a general rule, they don’t vote, serve in the military, or engage in any other displays of patriotism. This year, however, the AAB has said that it is imperative that they get involved in the democratic process. 
“Over the past eight years, the Democratic Party has launched a systematic assault on biblical virtues,” said AAB chairman Menno Simons. “We have seen more and more Christians being persecuted for their faith; we have seen the state defile the institution of marriage. Now, they want to put a woman in the nation’s highest leadership role in direct violation of 1 Timothy 2:12. We need to stop this assault and take a stand for biblical principles. Donald Trump has shown in both action and deed that he is committed to restoring this country to the Lord’s way.” 
According to statistician Nate Silver of the website fivethirtyeight.com, there are no possible scenarios in which Hillary Clinton can win with Donald Trump carrying the Amish vote. 
“The Amish have their highest numbers in perennial swing states like Pennsylvania, Virginia, Ohio, Indiana, and Iowa,” Silver noted. “They also have strong numbers in reliably Democratic states like Michigan, Illinois, and New York, meaning that Hillary will lose those states as well. There is also a sizeable community in Florida which, while not as large as it is in the Midwest, is still large enough to turn Florida for Trump. Over the next two weeks, you can expect Hillary to enter into a state of freefall in all of my predictive models.” 
The Clinton campaign issued a written statement to the AAB asking them to reconsider their decision. 
“I don’t believe that Donald Trump is the person who best represents your interests,” Clinton wrote to the AAB. “As a career real estate developer, he represents a clear threat to your simple way of life. As former first lady of Arkansas, I understand the concerns of rural Americans more than any candidate in this election. I implore you to consider all of the facts before voting for my opponent.” 
Most pundits believe that Mrs. Clinton’s plea is too little too late. 
During a press conference in Manhattan, Trump thanked the AAB for their support and promised to put the Amish to work maintaining government buildings, which he said would save taxpayers millions because “the Amish do great work for a very low price.” 
Though Clinton has pledged to stay in the race until the very end, many of her campaign workers have already resigned. According to the Associated Press, it is expected that the Clinton campaign will lose 50% of its staff over the next two weeks. There is a general mood of hopelessness and despair in the Clinton camp, and many simply want to cut their losses. 
“It looked like she was going to win this election easily,” said Paul Horner, a campaign worker in Ohio, “But this is what happens when you wake a sleeping giant. Cleary, Mrs. Clinton took far too much for granted in this race, and we are all now paying the price. It’s really sad to see the campaign end this way.” 
If you are interested in learning more about the Amish community and the AAB, you can contact the Pennsylvania Amish Heritage Museum at (785) 273-0325. TAGS "	fake
c6fb8dae30e3d378935e910540a0cb99b5351ac0	"64 SHARE President Obama has signed an Executive Order declaring an investigation into the election results and plans for a revote on December 19th. (AP Photo / Dennis System) 
WASHINGTON, D.C. (AP) — Following the results of Tuesday night’s election, President Obama has signed Executive Order 13805 , which orders a full recount of all votes cast in the election and calls for a special election to be held on December 19 th . Obama signed the order in response to the concerns of thousands of voters across the country who said that they were prevented from casting a ballot on election day , too many absentee ballots have not been found or counted , equipment failures, as well as concerns that some members of the electoral college may have acted unethically. 
“People all over the country have been flooding my office with calls, telling my staff of horror stories about being harassed and intimidated by poll workers,” Obama told reporters. “Many have even said that they were flat out denied entry into the voting booths to cast their ballots if they were wearing a Hillary Clinton shirt or other signs showing support for her as President. This was especially bad in areas of Florida and North Carolina where there are high numbers of Latino and African American voters. We must investigate these claims. The margin of victory is too close to call, and the outcome of this election is too important. There is just too many legal challenges in too many states to just call this a victory for Trump.” 
Under the President’s order, the votes cast in all precincts nationwide will be recounted, and all poll workers who took part in Tuesday’s election will be subjected to strict background checks. This process is expected to take 30 days. In precincts where the Department of Justice has cause to believe that voter suppression has occurred, new elections will be held on Dec. 19 th, with those results being used to help determine who will represent the individual states in the electoral college. 
Not surprisingly, Donald Trump is not happy with the president’s decision. 
“Crooked Hillary lost this election fair and square. They tried to rig this election against me, but the American people didn’t allow that to happen. President Obama doesn’t care about what the American people want. I said the system was rigged all along, and this proves I was right.” 
The president also said that the DOJ will be taking a close look at the members of the electoral college. 
“We have received information from a very reliable source that suggests there may have been some collusion between the members of the electoral college and poll workers in certain swing states. We still need to investigate these claims, but if they are true, we will take all the appropriate actions necessary.” 
Paul Horner, a professor of political science at UCLA, believes that the issues with the electoral college run much deeper that this election. 
“Most people feel that it is their right as citizens to pick the president of the United States, but there is nothing in the constitution that says that. Hillary Clinton won the popular vote by more than 200,000 votes , but because of the electoral college, she still lost. That decision is reserved solely for the 538 electors who meet in their respective states on December 19 th . What the people are actually voting for are their states’ electors, not for the President. Though the system is odd and unfair, it has persisted because many insist that it works just fine as it is, with the winner of the popular and electoral vote usually matching. That does not mean, however, that it will continue to work just fine in the future. The way the system is set up could cause it to malfunction in some potentially terrifying ways, this recent election being one of them.” 
Political Analyst Matt Daemon told ABC News that he agrees with the President’s Executive Order and said that he would like to see the electoral college done away with altogether. 
“[The electoral college] is a f—king joke; we should be using the popular vote instead. It may have made sense in 1788, but so did the three fifths compromise . Everyone should have an equal vote, and that’s just not the case with the electoral college. You know what the electoral college gave us? It gave us George W. Bush. It gave us a war in Iraq, and the worst recession since the great depression. It’s time to bring our system into the 21 st century. I hope Obama fixes this, because president Trump is going to be a nightmare.” 
Obama finished up the press conference explaining his plans for moving forward. 
“We’re going to investigate the FBI into their role in all of this,” Obama said. “Why did FBI director James Comey on Sunday say that the agency is not recommending charges against Clinton after reviewing all of her emails; declaring Hillary Clinton a free women conveniently just one day before the election? Why wasn’t this news released earlier? How many votes were lost because of this?” Obama said. “If all of these questions cannot be answered by our deadline set in December, a recount will be ordered.” 
If you have any questions about the recount or the special December 19 th election , you can call the Obama administration’s special election hotline at (785) 273-0325. TAGS "	fake
504e8fa4469d75f8d22984220568e3313c74a1b7	"adobochron 10 Comments 
San Francisco, California – It was an agreement four years in the making, oftentimes marred by shouting matches among city hall officials, representatives of the Sisters of Perpetual Indulgence, merchants and homeowners. But the Halloween party in San Francisco’s gay Castro district finally returns in 2014. 
It will be recalled that the Halloween bash attracted as many as 500,000 each year and has become a major tourist attraction, second and third only to the Pride parade and Folsom Street Fair. Stabbing and shooting incidents, believed to be perpetrated by straight revelers, prompted city officials to permanently ban the event beginning in 2010. 
As part of the agreement, the “new” Castro Halloween will be open only to members of the LGBTQ community who will have to register with city hall and be included in a “gay registry.” Registrants, who will take an oath admitting that they are gay, lesbian, bisexual, transgender or questioning, will be issued special identification cards linked to the official registry. The IDs will be the only accepted pass to gain entry to the Halloween event. ID’s will be scanned at entrances to the event to confirm that individuals are listed in the official registry. 
Get ready to say “Boo!” Again. Rate this:"	fake
20e1a45f760f8db5f26207bbfe827bf8cd6d65bb	"adobochron 1 Comment 
MANILA, Philippines (The Adobo Chronicles, Manila Bureau) – This is a tutorial on how to ride the jeepney which is an important mode of mass transportation in many cities and towns in the Philippines. 
Many of you may already be familiar with these rules, etiquette and tricks but for those who are visiting the country for the first time or are returning nationals (balikbayan) who have been away for a long time, you might want to keep this tutorial handy. First of all, not all jeepneys you encounter are as colorful, shiny and clean as the one pictured here. If you are bothered by smoke or the smell of gasoline, remember to always carry and wear a disposable surgical mask. It also helps with, you know, body odor. In most cases, there are no jeepney stops like there are bus stops. Wherever you are, be rest assured that so long as there is room for one more passsenger, the jeepney will stop for you. Speaking of room, when the driver says the capacity of his jeepney is 10 passengers on either side, you can’t argue. Ten means ten, even if only half your butt sits comfortably on the padded seat. Only cash payment is accepted, but you probably already know that. Exact fare is appreciated but Mr. Driver is happy to provide change except very early in the day. “Barya lang po sa umaga!” No five hundred peso bills in the morning, please. Jeepney fare is passed on from one passenger to another until it reaches the driver. The same is true for any change back due the passenger. It takes a village to ride the jeepney you know. If you don’t want to be bothered by other passengers asking you to pass on the fare to the driver, sit as far as possible from the driver, assuming that premium spot is vacant. The jeepney driver would appreciate it so much if you pay your fare before you start texting on your mobile phone. “God knows who doesn’t pay,” says one jeepney sign. There are two phrases you need to learn when riding the jeepney: “Bayad po” (here’s my fare) and “Para po” (this is my stop). If you don’t speak the language, no worries. Just pass on your fare to the passenger next to you and he or she will know what to do. And if you need to disembark, just knock on the jeepney’s roof. It also means “please stop.” There are discounted fares for students and seniors. Be sure to say “one senior” or “one student” when paying your fare. Otherwise, you pay full fare. Filipinos have learned to respect seniors and people with disabilities. The spot closest to the jeepney entrance (farthest from the driver) is reserved for them. Isn’t that nice? As always, hold on to the hand rails. It can be a very bumpy ride. Rate this:"	fake
9874fcff14d4af3c13954116c55590b28a5b98b8	"adobochron 1 Comment Comerford 
WASHINGTON, D.C. ( The Adobo Chronicles, Washington Bureau) – White House executive chef, Filipino-American Cristeta Comerford, has revealed what she would cook for President Hillary Clinton’s first meal when she moves (back) to the presidential residence. That is, of course, assuming the Clintons will continue to retain her services. 
It would be pancit, that signature noodle dish closely identified with the Philippines. 
When asked by The Adobo Chronicles why she chose pancit, Comerford said that pancit represents long life and a ‘long term,’ meaning she was hoping Hillary would be elected to a second four-year term like her predecessor and current boss, President Barack Obama. Filipino pancit (Photo: MyBayKitchen.com) 
We were hoping she’d say “chicken or pork adobo” but we agree with her rationale for choosing pancit. Rate this:"	fake
3b136392b55de72123d5b03a3d07e575119e944d	"adobochron 7 Comments A rendering of the Trump Tower in Makati City, Philippines 
MAKATI CITY, Philippines ( The Adobo Chronicles) – When completed by the end of 2016, the Trump Tower in the Philippines will be among the country’s tallest buildings . But the Trump name may disappear from this upscale residential building. 
Launched in 2012, Trump Tower is a joint venture between Century Properties and the Trump Organization. It will be managed by Century Properties Management Inc. To rise at 250 meters above ground, the 56-story building is designed by award-winning international architectural firm Broadway Malyan. 
“It’s really just an iconic, modern building, very tall, very chic, something that really symbolizes everything that a Trump project means,” said Eric Trump, son of Donald, and executive vice president of development and acquisition. 
It is located at the corner of Kalayaan Avenue and Salamanca Street in Makati City. 
But today, Philippine President Rodrigo Roa Duterte issued an executive order canceling the building permit of the Trump Tower. 
Duterte called Donald Trump and his organization “persona non grata” for the Republican presidential candidate’s recent comments about the Philippines. 
It will be recalled that in one of his campaign speeches, Trump lumped the Philippines with other countries with terrorism links, calling for the banning Filipinos from immigrating to the United States. Duterte even challenged Trump to a fist fight. 
“If we, Filipinos, are not welcome in the United States, why would we welcome Trump in the Philippines,” Duterte said. 
Asked by The Adobo Chronicles what the Philippine government plans to do with the Trump Tower, Duterte replied, “I will make it a rehabilitation center for the more than half a million Filipino drug users who surrendered as part of my war on drugs.” 
Touché!"	fake
6cc3f4a496a8124a3832867e74a1a26a9ae43232	"adobochron 1 Comment 
SAN FRANCISCO, California ( The Adobo Chronicles, San Francisco Bureau) – Now it can be told — now that Hillary Clinton is all but assured of the Democratic presidential nomination. 
For months since the former secretary of state launched her presidential bid, her campaign logo has always symbolized America’s quest to move forward, with the arrow in the logo pointing to the right. Left-handed people, of course, dispute that symbolism because for them, moving forward should be pointing to the left. 
But there is another school of thought about Hillary’s logo. Many believe that the arrow pointing right actually symbolizes moving to the (conservative) right as opposed to the (liberal) left. 
The logo was a brilliant concept designed to help the Democrats win over Republican voters in the general elections — voters who will definitely choose a rightist over a leftist candidate. 
The GOP’s presumptive nominee, Donald Trump, is perceived by many as more leftist than rightist, which would give Clinton the edge among conservative voters. 
Who knew the placement or direction of an arrow could spell victory or defeat for an American presidential candidate? Rate this:"	fake
d6cf2ee2ebc9b55ec8385b0a20f9417cbd9f63a9	"adobochron 2 Comments 
MANILA, Philippines ( The Adobo Chronicles, Manila Bureau) – Rappler CEO Maria Ressa’s widely-quoted statement, “Time to take back the Internet” might just come back to haunt her. Just in time for Halloween. 
Ressa has been very vocal about the proliferation of “fake” news sites and trolls that have left her online news organization lagging behind in terms of followers and reader engagements. She was particularly critical of entertainer-turned-political blogger, Mocha Uson, who has more than 4 million followers, twice that of Rappler. 
Now, the Philippine government may soon ‘take back the Internet’ from Rappler because it appears it has violated the Philippine Constitution. 
Article XVI, Section 11 of the 1987 Philippine Constitution specifically states that the mass media must be wholly-owned and managed by citizens of the Philippines. 
But Rappler is partly-owned by a foreign company, Omidyar Network. How do we know? Rappler itself told us so way back on November 5, 2015: 
So, before Rappler can take back the Internet, it may first have to give it up! Rate this:"	fake
a0ec7a8f22b44b92bea5c01a45c70e30b17384b4	"adobochron 2 Comments The Trump hotels in Las Vegas, left, and Doral 
DES MOINES, Iowa ( The Adobo Chronicles) – Since he launched his bid to be the Republican nominee for president of the United States, Donald Trump has made many promises, but nothing has caught the attention of the media and electorate more than what he said today in Iowa, on the eve of the first caucus of the 2016 presidential elections season. 
If elected president of the United States, Trump says he will not live in the White House. 
Instead, the billionaire candidate will establish his own White House outside of Washington, D.C. — as a matter of fact two of them : one in Florida and another in Nevada. Trump’s White House (s) will be headquartered in the Trump hotels in Doral and Las Vegas. 
“This will bring the White House — and the president — closer to the people,” Trump declared. He also indicated that he will not be using Airforce One or Marine One. Rather, he said he will be using his own private jet at no cost to the taxpayers. 
The Adobo Chronicles asked Trump what will happen to the media and the White House press corps when he travels across the country or abroad. 
“Well, they just have to book their own commercial flights and follow me around,” he said. 
Thousands of miles away in the Philippines, a leading presidential candidate said that if elected president, he will not live in Malacañang — the Filipino counterpart of the White House — because he likes to sleep in his own bed. His bed is in Davao City of which he is currently the mayor. 
Rodrigo Duterte said he will commute daily from Manila to Davao using a private jet of his friend. Davao is about a hour and forty-five minutes by plane from Manila, which is a far way shorter commute than being stuck in daily traffic on Metro Manila’s streets."	fake
c545a56e757eeb80748da7f585752084b8d73c3f	"adobochron 3 Comments Comerford 
Washington, D.C. (The Adobo Chronicles) – It is common knowledge that Ronald Reagan loved mac n’cheese. Bill Clinton, before his heart bypass, indulged in jalapeño cheeseburgers. How about Barack Obama? 
In an exclusive interview with White House executive chef Cristeta Comerford, she indicated that Obama does not have one particular favorite food. “But he loves Filipino cuisine,” she said. 
Comerford, a Filipino American, has so far served as executive chef under three U.S. Presidents – George W. Bush, Clinton and Obama. She is the first woman and the first of Asian descent who has served as White House executive chef. Halo-Halo 
“There are so many Filipino foods that the president likes, but on top of his list is halo-halo, the Filipino version of the Hawaiian shaved ice,” Comerford said. Asked to name the top ten Filipino foods fancied by Obama, Comerford gave us the following list: 
1. Halo-Halo (shaved ice) 
2. Dinuguan (pork blood stew) 
3. Balut (duck embryo) 
5. Kinilaw na Kambing (ceviche-style goat meat) 
6. Tocino (sweet cured pork) 
7. Laing (spicy taro leaves) 
8. Pinakbet (Filipino version of ratatouille) 
9. Crispy Pata (Deep-fried pork knuckles) 
10. Kare-Kare (Tripe and vegetables in peanut sauce) 
Asked how often Filipino food is served to the Obamas, Comerford, with a wink in her eye, said, “That’s classified information!” Rate this:"	fake
